block_number,timestamp,base_fee_wei,base_fee_gwei,gas_used,gas_limit,gas_used_ratio,hour,day_of_week,date
39421734,2025-12-13 13:33:35+00:00,517406,0.00051741,50164027,300000000,0.1672,13,5,2025-12-13
39421884,2025-12-13 13:38:35+00:00,502822,0.00050282,71776124,300000000,0.2393,13,5,2025-12-13
39422034,2025-12-13 13:43:35+00:00,512981,0.00051298,61614922,300000000,0.2054,13,5,2025-12-13
39422184,2025-12-13 13:48:35+00:00,726703,0.0007267,64589127,300000000,0.2153,13,5,2025-12-13
39422334,2025-12-13 13:53:35+00:00,806591,0.00080659,53915616,300000000,0.1797,13,5,2025-12-13
39422484,2025-12-13 13:58:35+00:00,672820,0.00067282,66885460,300000000,0.223,13,5,2025-12-13
39422634,2025-12-13 14:03:35+00:00,666090,0.00066609,69098471,300000000,0.2303,14,5,2025-12-13
39422784,2025-12-13 14:08:35+00:00,697821,0.00069782,64279924,300000000,0.2143,14,5,2025-12-13
39422934,2025-12-13 14:13:35+00:00,931266,0.00093127,54935033,300000000,0.1831,14,5,2025-12-13
39423084,2025-12-13 14:18:35+00:00,830770,0.00083077,87246474,300000000,0.2908,14,5,2025-12-13
39423234,2025-12-13 14:23:35+00:00,827365,0.00082737,45871957,300000000,0.1529,14,5,2025-12-13
39423384,2025-12-13 14:28:35+00:00,726794,0.00072679,42400912,300000000,0.1413,14,5,2025-12-13
39423534,2025-12-13 14:33:35+00:00,845722,0.00084572,73752131,300000000,0.2458,14,5,2025-12-13
39423684,2025-12-13 14:38:35+00:00,835822,0.00083582,50937031,300000000,0.1698,14,5,2025-12-13
39423834,2025-12-13 14:43:35+00:00,920253,0.00092025,48797335,300000000,0.1627,14,5,2025-12-13
39423984,2025-12-13 14:48:35+00:00,733904,0.0007339,63572374,300000000,0.2119,14,5,2025-12-13
39424134,2025-12-13 14:53:35+00:00,503104,0.0005031,49112318,300000000,0.1637,14,5,2025-12-13
39424284,2025-12-13 14:58:35+00:00,415287,0.00041529,70490755,300000000,0.235,14,5,2025-12-13
39424434,2025-12-13 15:03:35+00:00,412450,0.00041245,62939999,300000000,0.2098,15,5,2025-12-13
39424584,2025-12-13 15:08:35+00:00,673537,0.00067354,56432956,300000000,0.1881,15,5,2025-12-13
39424734,2025-12-13 15:13:35+00:00,624900,0.0006249,47039771,300000000,0.1568,15,5,2025-12-13
39424884,2025-12-13 15:18:35+00:00,561546,0.00056155,56178923,300000000,0.1873,15,5,2025-12-13
39425034,2025-12-13 15:23:35+00:00,443622,0.00044362,75422658,300000000,0.2514,15,5,2025-12-13
39425184,2025-12-13 15:28:35+00:00,354045,0.00035404,51835639,300000000,0.1728,15,5,2025-12-13
39425334,2025-12-13 15:33:35+00:00,285749,0.00028575,76990705,300000000,0.2566,15,5,2025-12-13
39425484,2025-12-13 15:38:35+00:00,253810,0.00025381,48820064,300000000,0.1627,15,5,2025-12-13
39425634,2025-12-13 15:43:35+00:00,238394,0.00023839,53229322,300000000,0.1774,15,5,2025-12-13
